,ROI,tau
0,3071,0.1565673964488345
1,2616,0.15655468834210345
2,2303,0.15456579308385027
3,2395,0.1439032322074256
4,4978,0.14034741207827459
5,5931,0.1393488304867174
6,2455,0.1391318740139733
7,2363,0.13813114888634107
8,5932,0.13797497697229813
9,2484,0.1359949620777846
10,2546,0.13599480896806493
11,2636,0.1337895696759462
12,1878,0.13356434527834113
13,5513,0.1320516212481994
14,2486,0.1301571946869702
15,2615,0.12598342372931176
16,4992,0.12562346277841469
17,2722,0.1255541040754132
18,3454,0.1253379131512675
19,2813,0.12477875645510572
20,5463,0.12447039347973071
21,2793,0.12428298718287906
22,6050,0.12207927898795697
23,4920,0.12112372122762151
24,3455,0.12108819977266262
25,313,0.12070619102213585
26,1780,0.12059151184211814
27,4991,0.12026783789477803
28,253,0.11980299678592073
29,5595,0.11927247160733352
30,2756,0.1187318411872495
31,2659,0.11841061699542385
32,3155,0.11826776562699036
33,3070,0.1175017576995815
34,2526,0.11707565334979565
35,5190,0.11649842970671524
36,4933,0.11615653570273683
37,2812,0.11590329222643572
38,4977,0.11526421225661679
39,2725,0.11461165863146854
40,5465,0.11389143051023502
41,2302,0.11351891456232661
42,2454,0.1134919672516683
43,5936,0.11259704094031407
44,4226,0.11255401710909244
45,2300,0.11251512724030135
46,5929,0.11136802922068377
47,5893,0.11053266259027344
48,2579,0.11046560053306681
49,251,0.11033943812407516
50,1892,0.11017178298105841
51,5891,0.10989695103428672
52,2362,0.10961844445424337
53,967,0.10939720090934922
54,2301,0.10924654094521359
55,971,0.10901197685470988
56,533,0.10709504316469215
57,5305,0.10703655525178579
58,4432,0.10686813456017083
59,1779,0.1061936862451127
60,2792,0.10607824151649656
61,2836,0.10605803103350275
62,5366,0.10594932313255136
63,2393,0.10568122801344426
64,2757,0.10447457031288276
65,5596,0.10425302054854918
66,5935,0.10400926987486646
67,5042,0.10400636079019315
68,1426,0.10398232256420804
69,2398,0.10372647622267295
70,4609,0.10359357698601677
71,2724,0.10352437139273497
72,3015,0.10340050562953812
73,2392,0.10288100435076576
74,2545,0.1026430718464297
75,5136,0.10191656622669054
76,1428,0.10172655706460493
77,6084,0.10143151463483938
78,4993,0.10126554369873882
79,3154,0.10122925669518178
80,3451,0.10084265465306562
81,2569,0.10064943018686733
82,4912,0.10062615750948051
83,6052,0.1005255644236705
84,190,0.10012319208043034
85,4043,0.09985387208356597
86,5894,0.09968453273363313
87,5930,0.09950080107005317
88,1877,0.09924403607020015
89,250,0.09870463052787329
90,1430,0.09856499446355249
91,5897,0.0985192146573771
92,2525,0.09820028711134625
93,1470,0.09802497648234704
94,4559,0.09740901608019521
95,4563,0.09738283431813506
96,4739,0.0973157722609283
97,2543,0.0973003081792437
98,1894,0.09683393597318983
99,2790,0.09680270159038121
100,3820,0.09656492219576486
101,4738,0.09653077872828286
102,969,0.09637430059480058
103,3970,0.09626329604805436
104,425,0.09619715264916556
105,2819,0.09613606187102525
106,4934,0.09552882872289344
107,4224,0.09537388168660763
108,311,0.09527221683276002
109,4919,0.09519535575349578
110,4911,0.09498192080430368
111,2760,0.09473939500837815
112,368,0.09453392176460777
113,6623,0.09442276410814193
114,2490,0.09441924258459006
115,3971,0.0940058463415351
116,2817,0.09397675549480154
117,5592,0.09393587519965504
118,1794,0.09392102355684899
119,3248,0.0938202773613193
120,2810,0.09354590474370653
121,2176,0.09350548377771899
122,4994,0.09305090102007815
123,1431,0.09280791589499363
124,4942,0.09259570582355874
125,5365,0.09238977325062957
126,6049,0.09199719992944698
127,4740,0.09175865498623233
128,1073,0.091376493125986
129,3349,0.09123823504914208
130,314,0.09120822554409065
131,5103,0.09101760394312643
132,2583,0.0909240539044203
133,1796,0.09091165201712863
134,5319,0.09088378604815235
135,625,0.09070020749429202
136,1425,0.09063590141203905
137,4859,0.09058522209483491
138,2234,0.0905766479505345
139,2394,0.09054357625109012
140,4976,0.09028972033591041
141,6051,0.09012237141233295
142,4900,0.08989944366052263
143,2489,0.08962935811506004
144,5294,0.08961925287356316
145,4154,0.089507788997658
146,3450,0.08933753098940722
147,2270,0.08933569367277142
148,315,0.08929894734005542
149,6176,0.08915150268003247
150,148,0.08912072762638278
151,1475,0.08903161776954661
152,2342,0.08896807723589187
153,703,0.08896287150542369
154,5321,0.08869982900706501
155,6401,0.08820038510156682
156,2723,0.08820007888212747
157,3814,0.08819043296978953
158,3975,0.08818538034904114
159,1270,0.08815016511352161
160,3069,0.08813546658043524
161,3661,0.08806457678023728
162,4935,0.08803165819051255
163,5549,0.0879961367355537
164,422,0.08787487383759102
165,2544,0.08782006055795626
166,310,0.08772987893308243
167,1171,0.08769527613644153
168,1588,0.08751169758258119
169,3022,0.08747740100537964
170,3245,0.08737221462798007
171,5550,0.08709110518270273
172,5859,0.08698101929427435
173,5267,0.08686557456565833
174,3066,0.08681091439574326
175,4561,0.08680555555555552
176,90,0.08675747910358539
177,5462,0.08645524051699639
178,1226,0.08638465693623776
179,5594,0.08563105089612054
180,6086,0.08524444885400433
181,6272,0.08512594193099521
182,2580,0.08504173158518775
183,4042,0.08495246861863183
184,2198,0.08486351187151515
185,2022,0.08476965561336976
186,4156,0.08470642129915434
187,5467,0.08463109131708652
188,643,0.08457183785558203
189,4427,0.08456188572380477
190,2236,0.08453065134099615
191,4974,0.08428399158264002
192,3094,0.08396981043791828
193,4285,0.08384793510107688
194,204,0.08383798296929959
195,6296,0.08380797346424818
196,4199,0.0837525477457349
197,4706,0.08373693055433067
198,3021,0.08366221301114146
199,2904,0.08340590734044741
200,2635,0.08327867316341822
201,5253,0.0832566253637887
202,6286,0.08325647225406901
203,1629,0.08322906561425164
204,2645,0.08296326714093932
205,5898,0.08296158293402316
206,534,0.08295009970504935
207,644,0.08294856860785292
208,5046,0.0828600711898952
209,4498,0.08285777454410047
210,3073,0.0828410855846586
211,5744,0.08283036790428315
212,351,0.08282898991680622
213,6304,0.08270512415360941
214,626,0.08267511464855802
215,424,0.08258845454723612
216,4861,0.08244698116627959
217,2822,0.08209957521239376
218,972,0.08206451308659385
219,6174,0.08174665730860058
220,6085,0.08174298267532898
221,6330,0.0816005906360545
222,2496,0.08155756680483284
223,4297,0.08127186406796598
224,4898,0.08124200767263422
225,426,0.08118596951524233
226,1427,0.08109502234177024
227,5855,0.08105674491185773
228,2478,0.08086520465257563
229,5304,0.08084866880285344
230,2773,0.08054811442318054
231,1778,0.08053938716916048
232,3452,0.0803731100136206
233,76,0.08034876556819627
234,362,0.0803029857620209
235,4838,0.08019534962910696
236,4678,0.08009368477525938
237,1618,0.07996660370794995
238,4605,0.07968779090846728
239,5542,0.07953958069984612
240,4693,0.07943332255440898
241,2434,0.07930654770653882
242,4734,0.07930471038990303
243,918,0.07929720801364021
244,2906,0.07925525595045609
245,2142,0.079243925831202
246,5160,0.0792243277870868
247,5014,0.07922340912876895
248,3474,0.07916293078950713
249,2771,0.07915925615623558
250,1793,0.07906585922724908
251,2592,0.07892193609077806
252,3038,0.07890892176460784
253,5047,0.07889422323152144
254,4428,0.07889269213432498
255,5511,0.07884813720590678
256,4783,0.07882915160067021
257,4627,0.07851343935875192
258,2066,0.07830321971367254
259,3376,0.07826785136843337
260,2140,0.07816848316038055
261,404,0.07809590915326645
262,756,0.0780544164192413
263,4047,0.07793085687548383
264,34,0.0778637948182771
265,536,0.07782597671752359
266,2051,0.07758191982440153
267,5000,0.07757747964253164
268,2502,0.07756507775523996
269,5858,0.07752021660738255
270,1590,0.07750092478270666
271,232,0.07749633149111719
272,3457,0.07744703016138985
273,2769,0.0774251354714799
274,1925,0.07735164280604787
275,3445,0.07733908780903662
276,4363,0.07724492533145187
277,2726,0.07707711707871549
278,4463,0.07691267723981139
279,535,0.076819280310825
280,4996,0.07679233300016655
281,4494,0.07662161566275678
282,3557,0.07655807512910207
283,1221,0.07653066848928475
284,1688,0.07633836268140437
285,2992,0.0763382095716847
286,970,0.07608343499818718
287,1795,0.07597717685275003
288,4782,0.07596293764882263
289,2029,0.0759407367394734
290,116,0.07592680375498521
291,4592,0.07585652639366587
292,380,0.07585438285759077
293,3401,0.07582177048730535
294,4545,0.07581870829291235
295,6005,0.0757686414145868
296,402,0.07565932107475667
297,180,0.07556500548745229
298,3051,0.07555872798894668
299,4972,0.07552550317978263
300,3290,0.07550621135510671
301,4733,0.07547834538613044
302,3636,0.07545231673378991
303,5298,0.07525189611076809
304,4283,0.07516692021636236
305,5854,0.07514150400290046
306,3394,0.07502391573820928
307,1432,0.07492271021352068
308,5043,0.07485748547294976
309,2658,0.0748481457800511
310,2299,0.07475367708302712
311,2493,0.07472382068769536
312,2464,0.0745929118773946
313,5564,0.07447838580709637
314,1464,0.07440963954297354
315,1891,0.07438942905997976
316,4730,0.07437182144222003
317,4676,0.07437074967418247
318,4329,0.07436324729791964
319,2576,0.07426770683285804
320,4615,0.07403589871730798
321,2222,0.07395321946869697
322,645,0.07391999465953294
323,4705,0.07380072218792559
324,2085,0.07375693280810568
325,399,0.07371727739071635
326,4899,0.07367027270678382
327,4855,0.07366430142771749
328,3027,0.0736228086936923
329,5135,0.07362173692565478
330,4916,0.07352053140096612
331,2827,0.07340646465982688
332,4153,0.0732766276175637
