ROI,count,rank
3071,116.0,24.232758620689655
2616,104.0,32.125
2303,110.0,36.38181818181818
4978,93.0,56.18279569892473
5931,91.0,60.83516483516483
2484,87.0,67.52873563218391
2395,78.0,73.8974358974359
2455,80.0,77.6375
5932,77.0,78.2987012987013
2363,77.0,80.74025974025975
2486,79.0,81.63291139240506
1878,78.0,86.14102564102564
2722,74.0,86.51351351351352
2636,77.0,92.9090909090909
3454,70.0,93.78571428571429
5513,73.0,94.41095890410959
2546,72.0,97.52777777777777
6050,70.0,98.15714285714286
3455,73.0,108.42465753424658
2659,64.0,115.390625
2793,64.0,118.71875
2615,66.0,119.04545454545455
5463,64.0,119.1875
4992,60.0,120.83333333333333
2526,60.0,133.06666666666666
2813,52.0,148.90384615384616
5936,53.0,155.0754716981132
2300,52.0,156.07692307692307
1780,54.0,156.74074074074073
2812,53.0,158.0
3155,55.0,158.29090909090908
313,52.0,160.07692307692307
2725,52.0,162.40384615384616
253,52.0,163.6153846153846
2302,50.0,166.02
4991,50.0,169.3
2362,52.0,178.26923076923077
2392,49.0,179.51020408163265
4920,50.0,181.22
5595,50.0,185.06
5190,48.0,185.20833333333334
4226,43.0,193.74418604651163
5935,48.0,194.8125
5893,45.0,196.77777777777777
2393,42.0,197.21428571428572
2756,45.0,197.3111111111111
2569,47.0,198.2340425531915
5897,45.0,205.2888888888889
2301,45.0,206.0222222222222
4933,43.0,207.48837209302326
2454,44.0,210.9090909090909
5366,46.0,213.6086956521739
1779,42.0,218.73809523809524
4738,41.0,220.17073170731706
4977,39.0,222.94871794871796
1428,40.0,226.0
2579,41.0,227.46341463414635
5465,39.0,228.0
368,40.0,229.85
5929,40.0,234.425
1892,42.0,237.4047619047619
4900,36.0,242.83333333333334
425,36.0,243.75
533,39.0,247.66666666666666
250,36.0,248.97222222222223
251,36.0,250.63888888888889
2394,36.0,257.19444444444446
2490,38.0,257.2368421052632
1629,36.0,257.75
4563,36.0,257.80555555555554
3015,33.0,270.90909090909093
3070,35.0,276.57142857142856
2496,33.0,277.3636363636364
4934,33.0,280.030303030303
971,34.0,284.88235294117646
5305,34.0,284.97058823529414
5042,36.0,285.6666666666667
2760,33.0,293.1818181818182
1794,33.0,294.90909090909093
4545,31.0,295.48387096774195
4739,32.0,295.5625
1894,34.0,296.5882352941176
625,31.0,298.2258064516129
1431,32.0,306.75
